Model,Accuracy,Precision,Recall,F1,MCC,AUC
LogisticRegression,0.8540280479066434,0.8114122598338376,0.7662726338084543,0.7845700659617403,0.5759186144802012,0.9049897206567316
DecisionTree,0.8178933360630566,0.7500078266162384,0.7555657184391238,0.7526927122403372,0.5055429945101916,0.755752869369399
KNN,0.8346811342000204,0.7759490074227646,0.7542884989580214,0.7639323328553755,0.5297948995091996,0.8554340364774804
NaiveBayes,0.758828948715324,0.7183405648531827,0.7897348793962913,0.724623013462981,0.5030343019121261,0.8752880363041148
RandomForest,0.8613983007472618,0.8385701734039466,0.7567531181365281,0.7853389894983273,0.5896743091893637,0.9131629180649026
XGBoost,0.8711229399119664,0.8445030837055143,0.7823462308902007,0.8064142645346687,0.6237600410872863,0.9238860936642201
